Article Title,Article Abstract,Publication Year,Publication Month,Publication Day
The Role of Paramedics in Disclosure of Patient Safety Incidents: A Mixed Methods Study.,Critical care transport is a high-risk environment ripe for patient safety incidents (PSIs). Disclosure is the process by which a PSI is communicated to a patient or substitute decision maker. Little is known on paramedic perceptions on disclosure PSIs. This study evaluated the impact of a disclosure training program on the perceptions of paramedics on disclosing PSIs.,2023,12,07
Spatial distribution and modelling of <sup>239+240</sup>Pu in the sediments and seawater columns of the South China Sea and Indian Ocean.,"In order to investigate the <sup>239+240</sup>Pu potential influence in the ocean, and develop a new method for rapidly monitoring radioactive pollution, the <sup>239+240</sup>Pu spatial distribution in the South China Sea (SCS) and the Indian Ocean (IND) sediments is analyzed by SF-ICP-MS (ELEMENT 2). The inventory-weighted mean activities of <sup>239+240</sup>Pu were 0.413 ± 0.333 mBq/g, 0.128 ± 0.044 mBq/g, and 0.483 ± 0.606 mBq/g in the sediments of the SCS, eastern IND, and Arabian Sea, respectively. The <sup>239+240</sup>Pu activity spatial distribution in the SCS sediments was influenced by the current, the vertical distribution of Pu in seawater, and the transport of particulate matter. The <sup>239+240</sup>Pu activity spatial distribution in the IND sediments could be impacted by Antarctic Intermediate Water. The average of <sup>240</sup>Pu/<sup>239</sup>Pu atomic ratios were 0.258 ± 0.034, 0.219 ± 0.031, and 0.212 ± 0.028 in the sediments of the SCS, eastern IND, and Arabian Sea, respectively. The <sup>240</sup>Pu/<sup>239</sup>Pu atomic ratios in the SCS and IND indicate that Pu from the Pacific Proving Ground (PPG) is transported to the IND via the SCS internal current and transverse ocean currents within Indonesia. In addition, a seawater advection-dispersion equation (S-ADE) model is established based on the actual physical processes of radionuclides in the seawater column and well fitting results were obtained (R<sup>2</sup> = 0.49 to 0.99). The <sup>239+240</sup>Pu data and the geographic information from the sample site were used to correct the Pu distribution in the seawater. The calculated <sup>239+240</sup>Pu mean concentrations in the surface seawater were 2.465 mBq/m<sup>3</sup> and 2.205 mBq/m<sup>3</sup> for the SCS and the eastern IND seawater, respectively, and the result is consistent with the previous measurements. Then, the <sup>239+240</sup>Pu stored in the study area of SCS and eastern IND was estimated to be approximately 1.0-1.4% of the global ocean based on the model. This study provides a useful model for guiding and designing future monitoring of pollution by anthropogenic Pu and other isotopes.",2023,12,26
"Insights into spirotetramat-induced thyroid disruption during zebrafish (Danio rerio) larval development: An integrated approach with in vivo, in vitro, and in silico analyses.","Spirotetramat (SPT), a tetronic acid-derived insecticide, is implicated in reproductive and lipid metabolism disorders, as well as developmental toxicity in fish. While these effects are documented, the precise mechanisms underlying its developmental toxicity are not fully elucidated. In this study, zebrafish embryos (2 h post-fertilization, hpf) were exposed to four concentrations of SPT (0, 60, 120, and 240 μg/L) until 21 dpf (days post-fertilization). We delved into the mechanisms by examining its potential disruption of the thyroid endocrine system, employing in vivo, in vitro, and in silico assays. The findings showed notable developmental disturbances, including reduced hatching rates, shortened body lengths, and decelerated heart rates. Additionally, there was an increase in malformations and a decline in locomotor activity. Detailed analyses revealed that SPT exposure led to elevated thyroid hormone levels, perturbed the hypothalamic-pituitary-thyroid (HPT) axis transcript levels, amplified deiodinase type I (Dio1) and deiodinase type II (Dio2) activities, and both transcriptionally and proteomically upregulated thyroid receptor beta (TRβ) in larvae. Techniques like molecular docking and surface plasmon resonance (SPR) confirmed SPT's affinity for TRβ, consistent with in vitro findings suggesting its antagonistic effect on the T3-TR complex. These insights emphasize the need for caution in using tetronic acid-derived insecticides.",2023,12,26
Higenamine inhibits acute and chronic inflammatory pain through modulation of TRPV4 channels.,"Pain is the cardinal symptom of many debilitating diseases and results in heavy health and economic burdens worldwide. Asarum (Asarum sieboldii Miq.) is a commonly used analgesic in Chinese medicine. However, the analgesic components and mechanisms of asarum in acute and chronic pain mice model remain unknown. In this study, we first generated asarum water extract and confirmed strong analgesic properties in mice in both the acute thermal and mechanical pain models, as well as in the complete Freund's adjuvant (CFA) induced chronic inflammatory pain model. Second, we identified higenamine as a major component of asarum and found that higenamine significantly inhibited thermal and mechanical induced acute pain and CFA induced chronic inflammatory pain. Then, using Trpv4<sup>-/-</sup> mice, we found that TRPV4 is necessary for CFA induced thermal and mechanical allodynia, and demonstrated that higenamine analgesia in the CFA model is partly through TRPV4 channel inhibition. Finally, we found that GSK1016790A, a TRPV4 agonist, induced calcium response was significantly inhibited by higenamine in both cultured DRG neurons and TRPV4 transfected HEK293 cells. Consistent with calcium imaging results, higenamine pretreatment also dose-dependently inhibited GSK1016790A induced acute pain. Taken together, our behavior and calcium imaging results demonstrate that the asarum component higenamine inhibits acute and chronic inflammatory pain by modulation of TRPV4 channels.",2023,12,26
Fracture patterns and associated risk factors in pediatric and early adulthood type 1 diabetes: Findings from a nationwide retrospective cohort study.,"People with pediatric and early adulthood type 1 diabetes (T1D) might have a higher fracture risk at several sites compared to the general population. Therefore, we assessed the hazard ratios (HR) of various fracture sites and determined the risk factors associated with fractures among people with newly diagnosed childhood and adolescence T1D.",2023,12,27
Orange-spotted grouper IFNh response to NNV or MSRV and its potential antiviral activities.,"Type I interferon (IFN) plays a crucial role in the antiviral immune response. Nervous necrosis virus (NNV) and Micropterus salmoides rhabdovirus (MSRV) are the most important viruses in cultured larvae and juveniles, causing great economic losses to fish farming. To better understand the antiviral activities and immunoregulatory role of IFN from orange-spotted grouper (Epinephelus coioides), EcIFNh was cloned from NNV infected sample. EcIFNh has an open reading frame (ORF) of 552 bp and encodes a polypeptide of 183 amino acids. Phylogenetic tree analysis showed that EcIFNh was clustered into the IFNh branch. The tissue distribution analysis revealed that EcIFNh was highly expressed in the liver and brain of healthy orange-spotted grouper. The mRNA levels of EcIFNh were significantly upregulated after poly (I:C) stimulation and NNV or MSRV infection. Furthermore, the promoter of EcIFNh was characterized and significantly activated by EcMDA5, EcMAVS, EcSTING, EcIRF3, and EcIRF7 in the luciferase activity assays. We found that EcIFNh overexpression resisted the replication of NNV and MSRV, while EcIFNh silencing facilitated NNV replication in GB cells. In addition, EcIFNh recombinant protein (rEcIFNh) enhanced the immune response by inducing the expression of ISGs in vivo and in vitro, suggesting the potential application of rEcIFNh for anti-NNV and anti-MSRV. Taken together, our research may offer the foundation for virus-IFN system interaction in orange-spotted grouper.",2023,12,26
Characteristics of Klebsiella pneumoniae pyogenic liver abscess from 2010-2021 in a tertiary teaching hospital of South China.,"Pyogenic liver abscess (PLA) is a severe and potentially fatal infectious disease. Klebsiella pneumoniae is the predominant pathogen responsible for PLA. This study aims to investigate the clinical characteristics and prognostic factors of K. pneumoniae-induced pyogenic liver abscess (KP-PLA), particularly those caused by carbapenem-resistant K. pneumoniae (CRKP).",2023,12,26
Multidrug-Resistant Pathogens Contaminate River Water Used in Irrigation in Disenfranchised Communities: Multidrug-resistant pathogens in irrigation waters.,"The contamination of fresh surface waters poses a significant burden on human health and prosperity, especially in marginalized communities with limited resources and inadequate infrastructures. Here, we performed in-depth genomic analyses of multidrug-resistant bacteria (MDR-B) present in Al-Oueik river that is used for irrigation of agricultural fields in a disenfranchised area that also hosts a makeshift camp of Syrian refugees.",2023,12,26
Induction of proteome changes involved in the cloning of mcr-1 and mcr-2 genes in Escherichia coli DH5-α strain to evaluate colistin resistance.,"Plasmid genes, termed mobile colistin resistance-1 (mcr-1) and mobile colistin resistance-2 (mcr-2), are associated with resistance to colistin in Escherichia coli. These mcr genes result in a range of protein modifications contributing to colistin resistance. This study aims to discern the proteomic characteristics of E. coli carrying mcr-1 and mcr-2 genes. Furthermore, it evaluates the expression levels of various proteins under different conditions (with and without colistin).",2023,12,26
"Unraveling fluorescent mechanism of biomass-sourced carbon dots based on three major components: Cellulose, lignin, and protein.","The complexity of biomass components leads to significant variations in the performance of biomass-based carbon dots (CDs). To shed light on this matter, this study presents a comparative analysis of the fluorescence properties of CDs using pure cellulose, lignin, and protein as models. Three CDs showed different fluorescent properties, resulting from the structure difference and carbonization behavior in the hydrothermal. The relatively gentle thermal degradation of proteins allows the macromolecular structure of amino acids to be preserved. This preservation results in a more regular lattice structure, a larger sp<sup>2</sup> domain size, and N-doping, which contribute to the highest quantum yield (QY) of 8.7% of the CDs. In contrast, cellulose undergoes more severe thermal degradation with large amounts of small molecules generated, resulting in the CDs with fewer surface defects, more irregular lattice structures, and lower QY. These results provide a guideline for the design of carbon dots from different biomass.",2023,12,26
Bioresponsive gingerol-loaded alginate-coated niosomal nanoparticles for targeting intracellular bacteria and cancer cells.,"Targeting and treating intracellular pathogen infections has been long-standing challenge, particularly in light of the escalating prevalence of antimicrobial resistance. Herein, an optimum formulation of alginate (AL)-coated niosome-based carriers for delivery of herbal extract Gingerol (Gin) was developed to treat intracellular pathogen infections and cancer cells. We used Gin-Nio@AL as a model drug to assess its efficacy against Gram-negative/positive bacteria and breast cancer cell lines. Our investigation affirmed its heightened antibacterial and anticancer properties. The antibacterial activity of Gin-Nio@AL against intracellular Staphylococcus aureus (S. aureus) and pseudomonas aeruginosa (P. aeruginosa) was also tested. In the current study, the niosome nanoparticles containing herbal extract Gingerol were optimized regarding lipid content and Surfactant per Cholesterol molar ratio. The developed formulation provided potential advantages, such as smooth globular surface morphology, small diameter (240.68 nm), pH-sensitive sustained release, and high entrapment efficiency (94.85 %). The release rate of Gin from AL-coated niosomes (Gin-Nio@AL) in physiological and acidic pH is lower than uncoated nanoparticles (Gin-Nio). Besides, the release rate of Gin from niosomal formulations increased in acidic pH. The Gin-Nio@AL demonstrated good antimicrobial activity against S. aureus and P. aeruginosa, and compared to Gin-Nio, the MIC values decreased to 7.82 ± 0.00 and 1.95 ± 0.00 μg/mL, respectively. In addition, the time-kill assay results showed that the developed formulation significantly reduced the number of bacteria in both strains compared to other tested groups. The microtiter data and scanning electron microscope micrography showed that Gin-Nio@AL has a more significant inhibitory effect on biofilm formation than Gin-Nio and Gin. The cell cytotoxicity evaluation showed that Gin-Nio@AL reduced the survival rate of MDA-MB-231 cancer cells to 52.4 % and 45.2 % after 48 h and 72 h, respectively. The elimination of intracellular pathogens was investigated through a breast cancer cell infection in an in vitro model. Gin-Nio@AL exhibited an enhanced and sustained intracellular antibacterial activity against pathogens-infected breast cancer cells compared to other tested formulations. Overall, Gin-Nio@AL enables the triggered release and targeting of intra-extra cellular bacteria and cancer cells and provides a novel and promising candidate for treating intracellular pathogen infections and cancer cells.",2023,12,26
Comparison of the effects of three drying methods on lignin properties.,"In the last few years, a serious effort has been initiated to develop standard methods for lignin characterization at the national and international levels. Thus, several Canadian and ISO standards were recently developed. The current results were generated in an effort to assist the ISO/TC6 Committee come up with a reliable standard method for the measurement of the dry solids content of lignins. In particular, this work investigated the drying of lignin using three different drying methods: conduction oven drying (105 °C), vacuum oven drying at (60 °C), and freeze drying. Ten different lignins were used in this study including wet and air-dried softwood and hardwood kraft lignins in the acid and base forms from the industrial LignoForce™ process and hydrolysis lignin from the TMP-Bio™ process. The results showed that 7 h, 48 h and 24 h were sufficient to reach a constant solids content in the case of all lignins when oven drying, vacuum oven drying under negative pressure (150 mbar), and freeze drying (25 mT) were used, respectively. Kraft lignins in the base form showed higher sensitivity to degradation compared to lignins in the acid form. The total hydroxyl group content of air-dried and wet hardwood lignins in the base form decreased by more than 50 % after vacuum oven-drying for 71.5 h or oven-drying for 16 h compared to freeze-drying for 68 h. The decrease in the total hydroxyl groups was more pronounced (70 %) when the wet softwood lignin in the base form was dried in the oven compared to freeze drying for 68 h.",2023,12,27
The chromatin remodeler Ino80 regulates yeast stress tolerance and cell metabolism through modulating nitrogen catabolite repression.,"Chromatin remodelers are important in maintaining the dynamic chromatin state in eukaryotic cells, which is essential for epigenetic regulation. Among the remodelers, the multi-subunits complex INO80 plays crucial roles in transcriptional regulation. However, current knowledge of chromatin regulation of the core subunit Ino80 on stress adaptation remains mysterious. Here we revealed that overexpressing the chromatin remodeler Ino80 elevated tolerance to multiple stresses in budding yeast Saccharomyces cerevisiae. Analyses of differential chromatin accessibility and global transcription levels revealed an enrichment of genes involved in NCR (nitrogen catabolite repression) under acetic acid stress. We demonstrated that Ino80 overexpression reduced the histone H3 occupancy in the promoter region of the glutamate dehydrogenase gene GDH2 and the allantoinase gene DAL1. Consistently, the decreased occupancy of nucleosome was revealed in the Ino80-inactivation mutant. Further analyses showed that Ino80 was recruited to the specific DNA locus in the promoter region of GDH2. Consistently, Ino80 overexpression facilitated the utilization of non-preferred nitrogen source to enhance ethanol yield under prolonged acetic acid stress. These results demonstrate that Ino80 plays a crucial role in coordinating carbon and nitrogen metabolism during stress adaptation.",2023,12,27
"Bioinspired multiscale cellulose/lignin-silver composite films with robust mechanical, antioxidant and antibacterial properties for ultraviolet shielding.","Constructing a high-performance ultraviolet shielding film is an effective way for addressing the growing problem of ultraviolet radiation. However, it is still a great challenge to achieve a combination of multifunctional, excellent mechanical properties and low cost. Here, inspired by the multiscale structure of biomaterials and features of lignin, a multifunctional composite film (CNF/CMF/Lig-Ag) is constructed via a facile vacuum-filtration method by introducing micron-sized cellulose fibers (CMF) and lignin-silver nanoparticles (Lig-Ag NPs) into the cellulose nanofibers (CNF) film network. In this composite film, the microfibers interweave with nanofibers to form a multiscale three-dimensional network, which ensures satisfactory mechanical properties of the composite film. Meanwhile, the Lig-Ag NPs are employed as a multifunctional filler to enhance the composite film's antioxidant, antibacterial and ultraviolet shielding abilities. As a result, the prepared CNF/CMF/Lig-Ag composite film demonstrates excellent mechanical properties (with tensile strength of 133.8 MPa and fracture strain of 7.4 %), good biocompatibility, high thermal stability, potent antioxidant and antibacterial properties. More importantly, such composite film achieves a high ultraviolet shielding rate of 98.2 % for ultraviolet radiation A (UVA) and 99.4 % for ultraviolet radiation B (UVB), respectively. Therefore, the prepared CNF/CMF/Lig-Ag composite film shows great potential in application of ultraviolet protection.",2023,12,26
"Unusual rearrangements of mitogenomes in Diptera revealed by comparative analysis of 135 tachinid species (Insecta, Diptera, Tachinidae).","The Tachinidae is one of the most speciose families in Diptera, and the exclusively parasitoid species play an important role in regulating populations of many herbivorous insects in ecosystems, including many agricultural pests. To better comprehend the characteristics and evolution of the mitochondrial genome for the Tachinidae, we are adding a massive amount of new molecular data by assembling the mitogenomes for 71 genera and 135 species from all four tachinid subfamilies through next-generation sequencing, and we are presenting the most comprehensive mitogenomic phylogenetic analysis of this family so far. Extensive rearrangements observed in the mitogenome of Admontia podomyia (Exoristinae) are unique for the entire suborder Cyclorrhapha. The rearrangement pattern suggests that the process involved a tandem duplication of the complete mitogenome, followed by both random and nonrandom loss of one copy of each gene. Additionally, five minor mitogenome rearrangements are discovered and described in three subfamilies. We present the largest species-level phylogenetic hypothesis for Tachinidae to date, based on mitogenomes of 152 species of Tachinidae, representing all four subfamilies and with five non-tachinid outgroups. Our analyses support the monophyly of the Tachinidae and most tribes and genera were recovered with good support, but the higher-level phylogenetic relationships within Tachinidae were poorly resolved, indicating that mitogenome data alone are not enough to unambiguously resolve the deeper phylogenetic relationships within Tachinidae.",2023,12,26
msqrob2PTM: differential abundance and differential usage analysis of MS-based proteomics data at the post-translational modification and peptidoform level.,"In the era of open-modification search engines, more post-translational modifications than ever can be detected by LC-MS/MS-based proteomics. This development can switch proteomics research into a higher gear, as PTMs are key in many cellular pathways important in cell proliferation, migration, metastasis and ageing. However, despite these advances in modification identification, statistical methods for PTM-level quantification and differential analysis have yet to catch up. This absence can partly be explained by statistical challenges inherent to the data, such as the confounding of PTM intensities with its parent protein abundance. Therefore, we have developed msqrob2PTM, a new workflow in the msqrob2 universe capable of differential abundance analysis at the PTM, and at the peptidoform level. The latter is important for validating PTMs found as significantly differential. Indeed, as our method can deal with multiple PTMs per peptidoform, there is a possibility that significant PTMs stem from one significant peptidoform carrying another PTM, hinting that it might be the other PTM driving the perceived differential abundance. Our workflows can flag both Differential Peptidoform (PTM) Abundance (DPA) and Differential Peptidoform (PTM) Usage (DPU). This enables a distinction between direct assessment of differential abundance of peptidoforms (DPA) and differences in the relative usage of peptidoforms corrected for corresponding protein abundances (DPU). For DPA, we directly model the log2-transformed peptidoform (PTM) intensities, while for DPU, we correct for parent protein abundance by an intermediate normalisation step which calculates the log2-ratio of the peptidoform (PTM) intensities to their summarized parent protein intensities. We demonstrated the utility and performance of msqrob2PTM by applying it to datasets with known ground truth, as well as to biological PTM-rich datasets. Our results show that msqrob2PTM is on par with, or surpassing the performance of, the current state-of-the-art methods. Moreover, msqrob2PTM is currently unique in providing output at the peptidoform level.",2023,12,26
Locoregional Ablative Radiotherapy for Breast Cancer Patients Unsuitable for Surgical Resection.,Breast cancer patients unsuitable for surgical resection are typically managed with palliative systemic therapy alone. We report outcomes of 5-fraction ablative radiotherapy for non-resected breast cancers.,2023,12,26
Optimal PHASES scoring for risk stratification of surgically treated unruptured aneurysms.,"The PHASES (Population, Hypertension, Age, Size, Earlier subarachnoid hemorrhage, Site) score was developed to facilitate risk stratification for management of unruptured intracranial aneurysms (UIAs). This study aimed to identify the optimal PHASES score cutoff for predicting neurological outcomes in patients with surgically treated aneurysms.",2023,12,26
"Exoscope use in spine surgery: a systematic review of applications, benefits, and limitations.","Exoscopes were recently developed as an alternative to the operative microscope (OM) and endoscope for intraoperative visualization in neurosurgery. Prior reviews studying mixed cranial and spinal surgical cohorts reported advantages of exoscope use, including improved ergonomics and teaching. In recent years, there has been an increase in exoscope research, with no updated systematic review focused exclusively on the benefits and limitations of exoscopes in spine surgery.",2023,12,26
The influence of the placement of a lumbar interbody cage on subsidence risk: a biomechanical study.,"Lumbar spinal fusion is a common surgical procedure that can be done with a variety of different instrumentation and techniques. Despite numerous research studies investigating subsidence risk factors, the impact of cage placement on subsidence is not fully elucidated. This study aims to determine whether placement of an expandable TLIF cage at the center endplate or at the anterior apophyseal ring affects cage subsidence.",2023,12,26
THE APPLICATION OF SODIUM FLUORESCEIN IN RESECTION OF MEDULLOBLASTOMA UNDER YELLOW 560 FILTER: FEASIBILITY AND PRELIMINARY RESULTS OF A MONOCENTRIC COHORT AND SYSTEMATIC REVIEW.,"Maximizing surgical resection of medulloblastoma (MB) impacts overall survival; nevertheless, surgical resection remains a challenge since the infiltrative behavior of this tumor. Several dyes have been tested for improving tumor visualization; however, few reports with different protocols of fluorophores utilization and with inconstant results are available. Hence, we report our experience with sodium fluorescein (SF) in MB surgery, aiming to assess the role of this technique on extent of resection (EOR). Furthermore, we performed a literature review on this topic.",2023,12,26
Molecular characterization of large cell calcifying sertoli cell tumors: A multi-institutional study of 6 benign and 2 malignant tumors.,"Large cell calcifying Sertoli cell tumors (LCCSCTs) are rare testicular tumors, representing <1 % of all testicular neoplasms. Almost 40 % of patients with LCCSCTs will present in the context of the inherited tumor predisposition syndrome, the Carney complex. While most LCCSCTs are benign, 10-20 % have malignant behavior. The aim of our study was to analyze LCCSCTs for novel molecular alterations in addition to PRKAR1A mutations and to identify potential drivers for malignant progression. Eight LCCSCTs diagnosed at two institutions were included. Two patients had the Carney complex confirmed on subsequent genetic testing, and two tumors had several adverse pathological findings. One patient presented with metastatic disease at the time of initial diagnosis. Targeted next-generation sequencing detected PRKAR1A alterations in all cases, with heterozygous PRKAR1A mutations in 5 tumors, germline Carney-complex-associated PRKAR1A mutation in 2 patients, and PRKAR1A fusion in 1 tumor. Additionally, sequencing the metastatic case identified CDKN1B and TERT promoter gene mutations. All tumors showed a low tumoral mutational burden and unremarkable copy number alterations except for frequent LOH of 17q24 encompassing the PRKAR1A locus. RNA expression analysis showed increased expression of several markers including novel PRUNE2, and usual markers like inhibin and calretinin. Our study showed that while LCCSCTs have been reported in the setting of cancer predisposition syndromes, the majority of these tumors occur sporadically. PRKAR1A alterations were present in all cases and appear to be the major driver in LCCSCTs. It remains to be determined whether malignant progression may be caused by additional driver mutations.",2023,12,26
"Diode characteristics, piezo-photocatalytic antibiotic degradation and hydrogen production of Ce<sup>3+</sup> doped ZnO nanostructures.","Piezo-photocatalysis of ZnO nanostructures had recently well attracted due to their exceptional potential in degrading the antibiotics and scalable hydrogen production. Here, we have synthesized the Ce<sup>3+</sup> doped ZnO nanospheres in a facile wet chemical strategy. Dopant ions induced morphological evolution and optical bandgap tuning had observed in our experiment. Optical absorbance spectrum had confirmed the bandgap shortening occurs with Ce<sup>3+</sup> doped ZnO specimens. The bandgap gap value had reduced to 2.82 eV from 3.05eV confirming the visible light responsivity of ZnO nano specimens. Obtained Zn<sub>(1-x)</sub>Ce<sub>x</sub>O nanospheres were utilized to fabricate the p-Si/n- Zn<sub>(1-x)</sub>Ce<sub>x</sub>O heterojunction diodes as well studied the improved electrical conductivity for the Ce<sup>3+</sup> specimen-based diodes. Besides, ideality factor and barrier height values of the heterojunction diodes ZnO/p-Si, Zn<sub>0.99</sub>Ce<sub>0.01</sub>O/p-Si, Zn<sub>0.97</sub>Ce<sub>0.03</sub>O/p-Si, and Zn<sub>0.95</sub>Ce<sub>0.05</sub>O/p-Si are 15.97 & 0.43 eV, 15.47 & 0.44 eV, 8.02 & 0.46 eV and 5.21 & 0.47 eV, respectively. Direct sunlight assisted piezo-photocatalytic tetracycline (TC) degradation efficiency of ZnO, Zn<sub>0.99</sub>Ce<sub>0.01</sub>O, Zn<sub>0.97</sub>Ce<sub>0.03</sub>O, and Zn<sub>0.95</sub>Ce<sub>0.05</sub>O nanostructures respectively are 64%, 69%, 74% and 82%. We have produced the hydrogen quantity of 1234 μ mol h<sup>-1</sup>, 1490 μ mol h<sup>-1</sup>, 1750 μ mol h<sup>-1</sup> and 1980 μ mol h<sup>-1</sup> with 0%, 1%, 3% and 5% Ce<sup>3+</sup> doped ZnO specimens under the direct sunlight assisted piezo-photocatalytic H<sub>2</sub> production from H<sub>2</sub>S splitting.",2023,12,26
Utilization of carbon-based nanomaterials for wastewater treatment and biogas enhancement: A state-of-the-art review.,"The management of environmental pollution and carbon dioxide (CO<sub>2</sub>) emissions is a challenge that has spurred increased research interest in determining sustainable alternatives to decrease biowaste. This state-of-the-art review aimed to describe the preparation and utilization of carbon-based nanomaterials (CNM) for biogas enhancement and wastewater contaminant (dyes, color, and dust particles) removal. The novelty of this review is that we elucidated that the performance of CNMs in the anaerobic digestion (AD) varies from one system to another. In addition, this review revealed that increasing the pyrolysis temperature can facilitate the transition from one CNM type to another and outlined the methods that can be used to develop CNMs, including arc discharge, chemical exfoliation, and laser ablation. In addition, this study showed that methane (CH<sub>4</sub>) yield can be slightly increased (e.g. from 33.6% to 60.89%) depending on certain CNM factors, including its type, concentration, and feedstock. Temperature is a fundamental factor involved in the method and carbon sources used for CNM synthesis. This review determined that graphene oxide is not a good additive for biogas and CH<sub>4</sub> yield improvement compared with other types of CNM, such as graphene and carbon nanotubes. The efficacy of CNMs in wastewater treatment depends on the temperature and pH of the solution. Therefore, CNMs are good adsorbents for wastewater contaminant removal and are a promising alternative for CO<sub>2</sub> emissions reduction. Further research is necessary to determine the relationship between CNM synthesis and preparation costs while accounting for other factors such as gas flow, feedstock, consumption time, and energy consumption.",2023,12,26
Perturbations of the T-cell receptor repertoire in response to SARS-CoV-2 in immunocompetent and immunocompromised individuals.,"Functional T-cell responses are essential for virus clearance and long-term protection after severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection, whereas certain clinical factors, such as older age and immunocompromise, are associated with worse outcome.",2023,12,26
The therapeutic role of SSEA3(+) human umbilical cord blood mononuclear cells in ischemic stroke model.,"Numerous evidences showed that human umbilical cord blood (UCB) mononuclear cells were a promising approach for the therapy of ischemic stroke(IS). The effect of stage-specific embryonic antigen 3 (SSEA3）positive subpopulation in UCB was not investigated in IS. In this study, we isolated SSEA3 positive cells from healthy UCB mononuclear cells, which comprised about 7.01% of the total UCB-mononuclear cells. Flow cytometry analysis revealed that SSEA3(+)UCB cells were almost positive for CD44 and CD45, and negative for CD73, CD90 and CD105. The expression of Oct3/4 in SSEA3(+)UCB cells were higher than that in UCB. SSEA3(+)UCB cells sorted by magnetic cell sorting were intravenously injected into the middle cerebral arterial occlusion(MCAO) rat model. Neurological score showed that SSEA3(+)UCB transplantation group exhibited significant improvements in the functional outcome of MCAO rats than UCB transplantation group. Nissl staining and microtubule association protein-2(MAP2) immunofluorescence staining showed that the SSEA3(+)UCB transplantation group decreased neuronal loss. SSEA3(+)UCB transplantation group reduced neuronal apoptosis, inhibited caspase3 expression, and decreased tumor necrosis factor α(TNF-α). These results indicate that SSEA3 positive cells are a novel subpopulation of UCB cells, which exhibit great potential for the treatment of ischemic stroke.",2023,12,26
"HIV DRUG RESISTANCE AMONG PATIENTS EXPIRIENCING ANTIRETROVIRAL THERAPY FAILURE IN RUSSIA, 2019-2021.","Increasing HIV drug resistance is an important public health concern. The current study aimed to assess HIV drug resistance among people who live with HIV (PLWH) experiencing virological failure. Blood samples and epidemiological characteristics were collected in four Siberian regions from PLWH experiencing ART failure. Partial pol gene sequences were obtained for the study individuals. Drug resistance mutations (DRMs) were predicted using the Stanford HIVdb Program. The association of HIV DRM with epidemiological characteristics was estimated using logistic regression analysis. Further analysis was performed for children (0-14 years old) and adults (≥15 years old) separately. In total, 815 (89.4%) patients were included in the final dataset. Overall, 501 (61.5%) patients had DRM detected. NRTI DRM was more common in children, while NRTI+NNRTI DRM was more frequent in adults (p<0.001). Krasnoyarsk region, male sex, and high viral load were positively associated with the presence of DRM in adults, while higher CD4 cell count and PI/INSTI-based ART had a negative association. No association between epidemiological characteristics and DRM was identified in children. The remaining 38.5% of patients with virological failure had no DRM detected; those patients were likely to have insufficient ART adherence. Most (55.5%) patients had HIV CRF63_02A6, followed by sub-subtype A6 (39.2%). This study revealed poor ART adherence as a main factor driving ART failure among PLWH in the Siberian region. DRM was detected in over 60% of PLWH experiencing ART failure. The current results highlight an urgent need for the introduction of special programs focusing on ART adherence improvement.",2023,12,26
A novel tiRNA-Glu-CTC induces nanoplastics accelerated vascular smooth muscle cell phenotypic switching and vascular injury through mitochondrial damage.,"Nanoplastics pose several health hazards, especially vascular toxicity. Transfer RNA-derived small RNAs (tsRNAs) are novel noncoding RNAs associated with different pathological processes. However, their biological roles and mechanisms in aberrant vascular smooth muscle cell (VSMC) plasticity and vascular injury are unclear. This study investigated the potent effects of tsRNAs on vascular injury induced by short- and long-term exposure to polystyrene nanoplastics (PS-NPs). Mice were exposed to PS-NPs (100 nm) at different doses (10-100 μg/mL) for 30 or 180 days. High-throughput sequencing was used to analyze tsRNA expression patterns in arterial tissues obtained from an in vivo model. Additionally, quantitative real-time polymerase chain reaction, fluorescent in situ hybridization assays, and dual-luciferase reporter assays were performed to measure the expression and impact of tiRNA-Glu-CTC on VSMCs exposed to PS-NPs. Short-term (≥50 μg/mL, moderate concentration) and long-term (≥10 μg/mL, low concentration) PS-NP exposure induced vascular injury in vivo. Cellular experiments showed that the moderate concentration of PS-NPs induced VSMC phenotypic switching, whereas a high concentration of PS-NPs (100 μg/mL) promoted VSMC apoptosis. PS-NP induced severe mitochondrial damage in VSMCs, including overexpression of reactive oxygen species, accumulation of mutated mtDNA, and dysregulation of genes related to mitochondrial synthesis and division. Compared with the control group, 13 upregulated and 12 downregulated tRNA-derived stress-induced RNAs (tiRNAs) were observed in the long-term PS-NP (50 μg/mL) exposure group. Bioinformatics analysis indicated that differentially expressed tiRNAs targeted genes that were involved in vascular smooth muscle contraction and calcium signaling pathways. Interestingly, tiRNA-Glu-CTC was overexpressed in vivo and in vitro following PS-NP exposure. Functionally, the tiRNA-Glu-CTC inhibitor mitigated VSMC phenotypic switching and mitochondrial damage induced by PS-NP exposure, whereas tiRNA-Glu-CTC mimics had the opposite effect. Mechanistically, tiRNA-Glu-CTC mimics induced VSMC phenotypic switching by downregulating Cacna1f expression. PS-NP exposure promoted VSMC phenotypic switching and vascular injury by targeting the tiRNA-Glu-CTC/Cacna1f axis.",2023,12,26
